name,experienced,started,session_1,session_2,session_3,session_4,session_5,session_6
Isabella,Yes,03-Dec-2022,Target hit 63 times from 73 shots.,Target hit 62 times from 69 shots.,Target hit 60 times from 67 shots.,Target hit 61 times from 72 shots.,Target hit 51 times from 55 shots.,Target hit 59 times from 66 shots.
Carter,No,01-Feb-2024,Target hit 19 times from 38 shots.,Target hit 21 times from 44 shots.,Target hit 29 times from 55 shots.,Target hit 17 times from 33 shots.,Target hit 25 times from 39 shots.,Target hit 21 times from 41 shots.
Charles,Yes,11-Mar-2023,Target hit 40 times from 52 shots.,Target hit 50 times from 56 shots.,Target hit 44 times from 61 shots.,Target hit 38 times from 44 shots.,Target hit 51 times from 59 shots.,Target hit 58 times from 68 shots.
Zachary,No,01-Feb-2024,Target hit 20 times from 38 shots.,Target hit 27 times from 48 shots.,Target hit 21 times from 41 shots.,Target hit 17 times from 33 shots.,Target hit 22 times from 38 shots.,Target hit 29 times from 44 shots.
Ezra,No,01-Feb-2024,Target hit 24 times from 42 shots.,Target hit 25 times from 48 shots.,Target hit 19 times from 39 shots.,Target hit 26 times from 38 shots.,Target hit 31 times from 56 shots.,Target hit 29 times from 47 shots.
Ayla,No,01-Feb-2024,Target hit 17 times from 38 shots.,Target hit 22 times from 45 shots.,Target hit 20 times from 37 shots.,Target hit 16 times from 29 shots.,Target hit 29 times from 48 shots.,Target hit 32 times from 53 shots.
Violet,No,01-Feb-2024,Target hit 27 times from 51 shots.,Target hit 20 times from 36 shots.,Target hit 22 times from 48 shots.,Target hit 36 times from 55 shots.,Target hit 23 times from 37 shots.,Target hit 25 times from 42 shots.
Elijah,No,01-Feb-2024,Target hit 14 times from 29 shots.,Target hit 10 times from 20 shots.,Target hit 12 times from 21 shots.,Target hit 18 times from 36 shots.,Target hit 19 times from 36 shots.,Target hit 20 times from 39 shots.
Imogen,No,01-Feb-2024,Target hit 18 times from 37 shots.,Target hit 37 times from 55 shots.,Target hit 23 times from 45 shots.,Target hit 24 times from 38 shots.,Target hit 24 times from 46 shots.,Target hit 21 times from 42 shots.
Addison,No,01-Feb-2024,Target hit 17 times from 30 shots.,Target hit 18 times from 38 shots.,Target hit 17 times from 22 shots.,Target hit 27 times from 45 shots.,Target hit 27 times from 48 shots.,Target hit 18 times from 24 shots.
Stella,No,01-Feb-2024,Target hit 21 times from 36 shots.,Target hit 21 times from 37 shots.,Target hit 25 times from 46 shots.,Target hit 37 times from 59 shots.,Target hit 30 times from 56 shots.,Target hit 25 times from 47 shots.
Connor,No,01-Feb-2024,Target hit 25 times from 43 shots.,Target hit 18 times from 33 shots.,Target hit 20 times from 45 shots.,Target hit 11 times from 32 shots.,Target hit 18 times from 31 shots.,Target hit 23 times from 42 shots.
Harper,No,01-Feb-2024,Target hit 21 times from 44 shots.,Target hit 16 times from 31 shots.,Target hit 23 times from 36 shots.,Target hit 16 times from 41 shots.,Target hit 21 times from 46 shots.,Target hit 25 times from 48 shots.
Lennox,Yes,04-Nov-2022,Target hit 42 times from 51 shots.,Target hit 62 times from 71 shots.,Target hit 48 times from 54 shots.,Target hit 54 times from 60 shots.,Target hit 56 times from 63 shots.,Target hit 64 times from 69 shots.
Hannah,Yes,01-Jun-2022,Target hit 60 times from 68 shots.,Target hit 57 times from 63 shots.,Target hit 50 times from 55 shots.,Target hit 73 times from 78 shots.,Target hit 60 times from 65 shots.,Target hit 65 times from 72 shots.
Adeline,Yes,18-Mar-2022,Target hit 47 times from 54 shots.,Target hit 48 times from 52 shots.,Target hit 63 times from 68 shots.,Target hit 56 times from 60 shots.,Target hit 55 times from 62 shots.,Target hit 53 times from 57 shots.
Layla,Yes,09-Sep-2022,Target hit 58 times from 66 shots.,Target hit 58 times from 68 shots.,Target hit 61 times from 64 shots.,Target hit 61 times from 66 shots.,Target hit 52 times from 55 shots.,Target hit 58 times from 67 shots.
Logan,Yes,18-Sep-2022,Target hit 53 times from 61 shots.,Target hit 54 times from 63 shots.,Target hit 51 times from 55 shots.,Target hit 65 times from 68 shots.,Target hit 58 times from 62 shots.,Target hit 59 times from 66 shots.
Jack,Yes,06-Sep-2022,Target hit 65 times from 74 shots.,Target hit 68 times from 77 shots.,Target hit 59 times from 68 shots.,Target hit 57 times from 61 shots.,Target hit 62 times from 72 shots.,Target hit 69 times from 75 shots.
Remi,No,01-Feb-2024,Target hit 37 times from 67 shots.,Target hit 16 times from 37 shots.,Target hit 22 times from 45 shots.,Target hit 28 times from 55 shots.,Target hit 26 times from 49 shots.,Target hit 31 times from 56 shots.
Aurora,Yes,11-Mar-2022,Target hit 42 times from 45 shots.,Target hit 41 times from 46 shots.,Target hit 68 times from 70 shots.,Target hit 53 times from 58 shots.,Target hit 51 times from 53 shots.,Target hit 60 times from 64 shots.
Zara,Yes,26-May-2022,Target hit 40 times from 43 shots.,Target hit 58 times from 62 shots.,Target hit 59 times from 67 shots.,Target hit 53 times from 55 shots.,Target hit 56 times from 63 shots.,Target hit 66 times from 74 shots.
Max,Yes,11-Jul-2023,Target hit 43 times from 59 shots.,Target hit 33 times from 48 shots.,Target hit 54 times from 71 shots.,Target hit 50 times from 63 shots.,Target hit 51 times from 66 shots.,Target hit 36 times from 47 shots.
Maryam,No,01-Feb-2024,Target hit 24 times from 50 shots.,Target hit 23 times from 45 shots.,Target hit 19 times from 32 shots.,Target hit 20 times from 40 shots.,Target hit 25 times from 44 shots.,Target hit 18 times from 33 shots.
Jasper,No,01-Feb-2024,Target hit 21 times from 43 shots.,Target hit 12 times from 28 shots.,Target hit 19 times from 48 shots.,Target hit 19 times from 41 shots.,Target hit 19 times from 45 shots.,Target hit 23 times from 44 shots.
Valentina,Yes,17-Mar-2022,Target hit 55 times from 59 shots.,Target hit 59 times from 67 shots.,Target hit 56 times from 59 shots.,Target hit 69 times from 74 shots.,Target hit 55 times from 61 shots.,Target hit 61 times from 64 shots.
Matilda,Yes,21-Oct-2021,Target hit 50 times from 53 shots.,Target hit 37 times from 41 shots.,Target hit 46 times from 51 shots.,Target hit 59 times from 65 shots.,Target hit 50 times from 52 shots.,Target hit 46 times from 51 shots.
Sadie,Yes,03-Jun-2022,Target hit 58 times from 66 shots.,Target hit 63 times from 73 shots.,Target hit 59 times from 65 shots.,Target hit 47 times from 53 shots.,Target hit 47 times from 56 shots.,Target hit 66 times from 72 shots.
Charlie,Yes,18-Nov-2021,Target hit 72 times from 77 shots.,Target hit 74 times from 80 shots.,Target hit 74 times from 77 shots.,Target hit 71 times from 72 shots.,Target hit 64 times from 69 shots.,Target hit 69 times from 73 shots.
Chloe,No,01-Feb-2024,Target hit 24 times from 41 shots.,Target hit 26 times from 49 shots.,Target hit 29 times from 48 shots.,Target hit 28 times from 39 shots.,Target hit 27 times from 42 shots.,Target hit 19 times from 30 shots.
Ivy,No,01-Feb-2024,Target hit 30 times from 43 shots.,Target hit 30 times from 46 shots.,Target hit 24 times from 42 shots.,Target hit 16 times from 43 shots.,Target hit 27 times from 61 shots.,Target hit 23 times from 43 shots.
Lincoln,Yes,15-Jul-2023,Target hit 53 times from 62 shots.,Target hit 42 times from 57 shots.,Target hit 56 times from 75 shots.,Target hit 45 times from 54 shots.,Target hit 54 times from 68 shots.,Target hit 56 times from 71 shots.
Delilah,No,01-Feb-2024,Target hit 24 times from 54 shots.,Target hit 25 times from 48 shots.,Target hit 27 times from 50 shots.,Target hit 21 times from 49 shots.,Target hit 29 times from 49 shots.,Target hit 31 times from 50 shots.
Leonardo,No,01-Feb-2024,Target hit 26 times from 44 shots.,Target hit 26 times from 43 shots.,Target hit 30 times from 52 shots.,Target hit 26 times from 49 shots.,Target hit 25 times from 44 shots.,Target hit 17 times from 39 shots.
Oscar,Yes,05-Mar-2023,Target hit 66 times from 76 shots.,Target hit 54 times from 60 shots.,Target hit 50 times from 57 shots.,Target hit 47 times from 52 shots.,Target hit 49 times from 57 shots.,Target hit 56 times from 60 shots.
Levi,Yes,26-Oct-2021,Target hit 56 times from 59 shots.,Target hit 58 times from 65 shots.,Target hit 63 times from 66 shots.,Target hit 61 times from 64 shots.,Target hit 63 times from 67 shots.,Target hit 58 times from 61 shots.
Liam,Yes,27-Nov-2021,Target hit 56 times from 64 shots.,Target hit 64 times from 70 shots.,Target hit 66 times from 71 shots.,Target hit 59 times from 65 shots.,Target hit 57 times from 65 shots.,Target hit 48 times from 53 shots.
Louis,Yes,22-Dec-2022,Target hit 54 times from 60 shots.,Target hit 60 times from 67 shots.,Target hit 55 times from 63 shots.,Target hit 62 times from 68 shots.,Target hit 42 times from 48 shots.,Target hit 58 times from 65 shots.
Rose,No,01-Feb-2024,Target hit 24 times from 58 shots.,Target hit 23 times from 46 shots.,Target hit 31 times from 51 shots.,Target hit 29 times from 55 shots.,Target hit 26 times from 48 shots.,Target hit 30 times from 45 shots.
Theo,Yes,01-Apr-2022,Target hit 60 times from 62 shots.,Target hit 64 times from 72 shots.,Target hit 42 times from 46 shots.,Target hit 52 times from 57 shots.,Target hit 64 times from 75 shots.,Target hit 60 times from 67 shots.
Thomas,No,01-Feb-2024,Target hit 24 times from 42 shots.,Target hit 22 times from 49 shots.,Target hit 22 times from 36 shots.,Target hit 34 times from 48 shots.,Target hit 29 times from 45 shots.,Target hit 27 times from 43 shots.
Billie,Yes,27-Jul-2023,Target hit 52 times from 69 shots.,Target hit 49 times from 61 shots.,Target hit 53 times from 65 shots.,Target hit 63 times from 85 shots.,Target hit 45 times from 59 shots.,Target hit 61 times from 69 shots.
Willow,Yes,16-Mar-2023,Target hit 47 times from 53 shots.,Target hit 45 times from 55 shots.,Target hit 58 times from 66 shots.,Target hit 43 times from 56 shots.,Target hit 44 times from 50 shots.,Target hit 40 times from 44 shots.
Ari,Yes,08-Apr-2022,Target hit 45 times from 47 shots.,Target hit 35 times from 39 shots.,Target hit 58 times from 61 shots.,Target hit 60 times from 64 shots.,Target hit 55 times from 59 shots.,Target hit 49 times from 53 shots.
Harriet,Yes,18-Sep-2021,Target hit 66 times from 69 shots.,Target hit 59 times from 63 shots.,Target hit 70 times from 74 shots.,Target hit 57 times from 63 shots.,Target hit 66 times from 69 shots.,Target hit 56 times from 62 shots.
Dylan,Yes,19-Mar-2023,Target hit 54 times from 66 shots.,Target hit 52 times from 59 shots.,Target hit 45 times from 55 shots.,Target hit 40 times from 48 shots.,Target hit 46 times from 55 shots.,Target hit 54 times from 63 shots.
Aiden,Yes,20-Dec-2021,Target hit 55 times from 58 shots.,Target hit 69 times from 78 shots.,Target hit 44 times from 46 shots.,Target hit 57 times from 58 shots.,Target hit 60 times from 61 shots.,Target hit 58 times from 61 shots.
Oliver,Yes,22-Sep-2022,Target hit 38 times from 41 shots.,Target hit 51 times from 57 shots.,Target hit 44 times from 54 shots.,Target hit 38 times from 47 shots.,Target hit 46 times from 51 shots.,Target hit 56 times from 62 shots.
Charlotte,Yes,07-Dec-2022,Target hit 59 times from 66 shots.,Target hit 47 times from 53 shots.,Target hit 57 times from 65 shots.,Target hit 45 times from 53 shots.,Target hit 44 times from 51 shots.,Target hit 45 times from 50 shots.
Alice,Yes,25-May-2023,Target hit 54 times from 58 shots.,Target hit 41 times from 48 shots.,Target hit 49 times from 69 shots.,Target hit 43 times from 49 shots.,Target hit 57 times from 70 shots.,Target hit 41 times from 53 shots.
Isla,Yes,04-Jul-2022,Target hit 43 times from 47 shots.,Target hit 48 times from 50 shots.,Target hit 62 times from 67 shots.,Target hit 55 times from 63 shots.,Target hit 52 times from 56 shots.,Target hit 61 times from 64 shots.
Hudson,No,01-Feb-2024,Target hit 26 times from 53 shots.,Target hit 23 times from 45 shots.,Target hit 30 times from 50 shots.,Target hit 19 times from 38 shots.,Target hit 26 times from 47 shots.,Target hit 26 times from 47 shots.
Finn,Yes,16-Dec-2022,Target hit 60 times from 66 shots.,Target hit 54 times from 62 shots.,Target hit 55 times from 60 shots.,Target hit 51 times from 58 shots.,Target hit 59 times from 64 shots.,Target hit 64 times from 71 shots.
Luke,No,01-Feb-2024,Target hit 29 times from 56 shots.,Target hit 24 times from 50 shots.,Target hit 29 times from 53 shots.,Target hit 28 times from 47 shots.,Target hit 28 times from 42 shots.,Target hit 26 times from 55 shots.
Hugo,No,01-Feb-2024,Target hit 22 times from 47 shots.,Target hit 30 times from 48 shots.,Target hit 28 times from 42 shots.,Target hit 20 times from 42 shots.,Target hit 30 times from 54 shots.,Target hit 23 times from 36 shots.
Luca,No,01-Feb-2024,Target hit 18 times from 40 shots.,Target hit 23 times from 38 shots.,Target hit 19 times from 46 shots.,Target hit 22 times from 55 shots.,Target hit 26 times from 42 shots.,Target hit 27 times from 44 shots.
Emma,No,01-Feb-2024,Target hit 23 times from 39 shots.,Target hit 22 times from 40 shots.,Target hit 27 times from 43 shots.,Target hit 17 times from 38 shots.,Target hit 19 times from 46 shots.,Target hit 29 times from 44 shots.
James,Yes,08-Oct-2022,Target hit 66 times from 74 shots.,Target hit 48 times from 58 shots.,Target hit 61 times from 65 shots.,Target hit 51 times from 56 shots.,Target hit 56 times from 66 shots.,Target hit 52 times from 56 shots.
Sonny,No,01-Feb-2024,Target hit 21 times from 41 shots.,Target hit 18 times from 37 shots.,Target hit 19 times from 39 shots.,Target hit 18 times from 42 shots.,Target hit 28 times from 50 shots.,Target hit 23 times from 42 shots.
Koa,No,01-Feb-2024,Target hit 23 times from 48 shots.,Target hit 23 times from 45 shots.,Target hit 32 times from 51 shots.,Target hit 33 times from 50 shots.,Target hit 24 times from 33 shots.,Target hit 28 times from 49 shots.
Reuben,Yes,09-Mar-2023,Target hit 39 times from 53 shots.,Target hit 44 times from 59 shots.,Target hit 47 times from 62 shots.,Target hit 50 times from 61 shots.,Target hit 44 times from 55 shots.,Target hit 46 times from 49 shots.
Lucy,No,01-Feb-2024,Target hit 27 times from 52 shots.,Target hit 23 times from 46 shots.,Target hit 27 times from 59 shots.,Target hit 27 times from 57 shots.,Target hit 34 times from 45 shots.,Target hit 30 times from 53 shots.
Jackson,Yes,23-Jun-2023,Target hit 56 times from 64 shots.,Target hit 51 times from 68 shots.,Target hit 51 times from 65 shots.,Target hit 47 times from 55 shots.,Target hit 46 times from 62 shots.,Target hit 48 times from 62 shots.
Eloise,Yes,20-Nov-2022,Target hit 54 times from 61 shots.,Target hit 51 times from 60 shots.,Target hit 48 times from 56 shots.,Target hit 60 times from 69 shots.,Target hit 55 times from 62 shots.,Target hit 76 times from 81 shots.
Noah,Yes,21-Mar-2023,Target hit 43 times from 56 shots.,Target hit 55 times from 61 shots.,Target hit 39 times from 48 shots.,Target hit 58 times from 68 shots.,Target hit 53 times from 66 shots.,Target hit 43 times from 52 shots.
Michael,Yes,15-Apr-2023,Target hit 48 times from 57 shots.,Target hit 61 times from 67 shots.,Target hit 51 times from 57 shots.,Target hit 49 times from 55 shots.,Target hit 56 times from 71 shots.,Target hit 51 times from 58 shots.
Patrick,Yes,21-Sep-2022,Target hit 47 times from 52 shots.,Target hit 51 times from 55 shots.,Target hit 63 times from 67 shots.,Target hit 55 times from 59 shots.,Target hit 56 times from 62 shots.,Target hit 64 times from 66 shots.
Summer,Yes,03-Jun-2022,Target hit 56 times from 64 shots.,Target hit 44 times from 53 shots.,Target hit 59 times from 63 shots.,Target hit 55 times from 61 shots.,Target hit 51 times from 55 shots.,Target hit 66 times from 73 shots.
Quinn,Yes,20-Jul-2023,Target hit 45 times from 59 shots.,Target hit 51 times from 62 shots.,Target hit 61 times from 73 shots.,Target hit 52 times from 66 shots.,Target hit 47 times from 58 shots.,Target hit 53 times from 63 shots.
Harlow,No,01-Feb-2024,Target hit 22 times from 36 shots.,Target hit 15 times from 32 shots.,Target hit 12 times from 30 shots.,Target hit 15 times from 27 shots.,Target hit 18 times from 30 shots.,Target hit 19 times from 35 shots.
Billy,No,01-Feb-2024,Target hit 27 times from 52 shots.,Target hit 16 times from 38 shots.,Target hit 21 times from 39 shots.,Target hit 13 times from 28 shots.,Target hit 23 times from 42 shots.,Target hit 25 times from 45 shots.
Savannah,No,01-Feb-2024,Target hit 23 times from 45 shots.,Target hit 22 times from 35 shots.,Target hit 24 times from 44 shots.,Target hit 30 times from 45 shots.,Target hit 22 times from 29 shots.,Target hit 25 times from 38 shots.
Luna,Yes,12-Nov-2022,Target hit 48 times from 52 shots.,Target hit 50 times from 59 shots.,Target hit 48 times from 59 shots.,Target hit 70 times from 74 shots.,Target hit 54 times from 64 shots.,Target hit 53 times from 58 shots.
Leah,No,01-Feb-2024,Target hit 37 times from 67 shots.,Target hit 27 times from 46 shots.,Target hit 29 times from 51 shots.,Target hit 20 times from 42 shots.,Target hit 25 times from 50 shots.,Target hit 29 times from 52 shots.
Alfie,No,01-Feb-2024,Target hit 18 times from 40 shots.,Target hit 21 times from 38 shots.,Target hit 11 times from 24 shots.,Target hit 19 times from 32 shots.,Target hit 17 times from 31 shots.,Target hit 17 times from 30 shots.
Lily,No,01-Feb-2024,Target hit 17 times from 37 shots.,Target hit 20 times from 31 shots.,Target hit 25 times from 41 shots.,Target hit 24 times from 35 shots.,Target hit 28 times from 44 shots.,Target hit 22 times from 37 shots.
Sebastian,Yes,01-Feb-2023,Target hit 65 times from 72 shots.,Target hit 60 times from 70 shots.,Target hit 63 times from 74 shots.,Target hit 69 times from 78 shots.,Target hit 83 times from 96 shots.,Target hit 71 times from 79 shots.
